tlist,tr,mag,coh,energy,overlap_target,overlap_instant
0.88,0.9999872163924729,0.007726220205209633,0.03897004032064548,11.58922205589384,0.49613049809363163,0.4815746000143506
0.89,0.9999867576114729,0.007392048070172852,0.041028175836990755,11.630766577388457,0.49629735477065,0.4804176042163475
0.9,0.9999862868818781,0.007017115352678627,0.04313229174191397,11.665985682753059,0.4964845857645997,0.47923913556097864
0.91,0.9999858045055513,0.00660186368757143,0.04527975491646534,11.694871878046293,0.49669197040898994,0.47804211312875977
0.92,0.9999853108320331,0.006145380618350738,0.04746810397521692,11.717427504687759,0.49691996510684117,0.4768293199467441
0.93,0.9999848062593377,0.005645281085604248,0.049694966005983554,11.733664140472381,0.49716976258686674,0.4756034854859287
0.9400000000000001,0.9999842912311276,0.005097706559979376,0.051957942779992,11.74360207920094,0.4974432923355741,0.4743673953971567
0.9500000000000001,0.9999837662309178,0.004497444122474659,0.05425448159234029,11.747269888243455,0.49774316105422156,0.47312401445994645
0.96,0.9999832317744286,0.003838158110074208,0.05658174823779699,11.744704018678018,0.49807253683217717,0.47187660688230715
0.97,0.9999826884013798,0.0031127178491603402,0.05893651946332308,11.735948431296329,0.49843498527610974,0.47062883827888224
0.98,0.9999821366678983,0.0023135972518747994,0.061315109614475616,11.72105420542271,0.49883426970801176,0.4693848458354973
0.99,0.9999815771403359,0.0014333162807117494,0.06371334157704425,11.700079113540935,0.49927413042981206,0.4681492670090678
1.0,0.9999810103908213,0.00046489095719010054,0.06612656628770336,11.673087167250154,0.4997580597168156,0.46692722205155884
1.01,0.9999804369943834,-0.0005977420272657574,0.06854972897529933,11.640148161713475,0.5002890895108246,0.465724250996291
1.02,0.9999798575271548,-0.001759357885666002,0.07097747479398313,11.601337259836377,0.5008696077064104,0.4645462108025522
1.03,0.9999792725650023,-0.0030231605190929045,0.07340428233230292,11.55673465971504,0.5015012165420476,0.4633991425112894
1.04,0.9999786826820202,-0.004390603549015437,0.07582461105483743,11.50642537871656,0.5021846431155178,0.46228912108335485
1.05,0.9999780884485425,-0.0058613270270044815,0.07823304816300919,11.450499167649948,0.5029197077377735,0.461222101848638
1.06,0.9999774904286651,-0.007433211775454696,0.08062444147119285,11.38905054412625,0.5037053511020599,0.46020377718268524
1.07,0.9999768891775718,-0.009102543834201393,0.08299400729901801,11.322178911594754,0.5045397165058866,0.45923945532783955
1.08,0.9999762852391816,-0.010864272877738113,0.08533740559442854,11.249988715133085,0.5054202790584599,0.4583339705056015
1.09,0.9999756791446903,-0.012712341511339653,0.08765077803668292,11.172589580203923,0.506344010328015,0.4574916300182639
1.1,0.9999750714124971,-0.014640057657932026,0.08993074831185585,11.090096386819205,0.5073075645352145,0.4567162003204702
1.11,0.9999744625497893,-0.01664048016684988,0.0921743868110857,11.002629246736575,0.5083074713583196,0.4560109304340936
1.12,0.9999738530557826,-0.018706788379559414,0.09437914450320875,10.910313371413498,0.509340320717671,0.45537860789836027
1.1300000000000001,0.9999732434263393,-0.020832609461278795,0.09654276260996286,10.813278838703262,0.510402926443809,0.454821639926919
1.1400000000000001,0.9999726341594977,-0.02301228239483044,0.0986631659608981,10.711660282439016,0.511492458277164,0.45434215073511264
1.1500000000000001,0.9999720257613436,-0.02524104400757371,0.1007383485531719,10.605596538312184,0.5126065348844586,0.45394208517393864
1.16,0.9999714187516864,-0.0275151295548291,0.10276625991913686,10.495230280915168,0.5137432741532577,0.4536233088593059
1.17,0.9999708136691252,-0.029831787510431862,0.10474470043745329,10.380707681427314,0.5149013005897786,0.4533876958501444
1.18,0.999970211075277,-0.032189214695284796,0.10667123273803036,10.26217810544866,0.5160797128852809,0.45323719648649186
1.19,0.9999696115581254,-0.034586423222720375,0.10854311489154345,10.139793858776665,0.5172780173904229,0.4531738800837566
1.2,0.9999690157346206,-0.03702305463592631,0.11035725921985298,10.01370997814479,0.5184960351852734,0.45319994959266646
1.21,0.9999684242527491,-0.03949915891017164,0.11211021843975522,9.884084056002473,0.5197337915814604,0.453317727856101
1.22,0.9999678377933192,-0.042014956701891926,0.11379819862959453,9.751076084167543,0.5209913972476056,0.45352961750041654
1.23,0.9999672570716633,-0.04457060249018885,0.11541709638730877,9.614848300454694,0.5222689297809261,0.45383803858234495
1.24,0.9999666828393579,-0.047165964314346276,0.11696255573548928,9.475565024251436,0.5235663235768521,0.45424534970145036
1.25,0.9999661158859432,-0.049800432966811525,0.11843003900462132,9.333392470198024,0.5248832744263774,0.4547537592648838
1.26,0.9999655570405124,-0.0524727700873624,0.11981490521642593,9.18849853240157,0.5262191635639374,0.4553652339045189
1.27,0.9999650071729406,-0.05518100095296641,0.12111248944756367,9.041052534104237,0.5275730040629535,0.45608141071597663
1.28,0.9999644671944784,-0.05792235417575753,0.1223181772505248,8.891224939062072,0.528943410685118,0.4569035190999485
1.29,0.9999639380574138,-0.060693247269489325,0.12342746933851485,8.739187021198706,0.5303285926634516,0.4578323166765814
1.3,0.9999634207535142,-0.06348931432342192,0.1244360332426544,8.585110488856571,0.531726367538468,0.45886804218413013
1.31,0.9999629163110184,-0.06630546996344949,0.12533974033015782,8.429167059813206,0.533134193137234,0.46001038664385246
1.32,0.9999624257899719,-0.06913600244320317,0.1261346882366693,8.271527983750177,0.5345492141165875,0.4612584825415214
1.33,0.9999619502757681,-0.07197468808449325,0.1268172102440977,8.112363510447786,0.5359683191801307,0.4626109094776561
1.34,0.9999614908707946,-0.07481491930923445,0.12738387429999787,7.951842304744699,0.5373882050900145,0.46406571376538047
1.35,0.9999610486841191,-0.07764983906106049,0.12783147515226853,7.79013081309002,0.5388054438725898,0.4656204388496935
1.36,0.9999606248191929,-0.08047247536247204,0.12815702344441493,7.627392590959151,0.5402165500908325,0.46727216318141473
1.37,0.9999602203595713,-0.08327587093955635,0.1283577356096467,7.4637876050260346,0.5416180456495638,0.4690175422613155
1.3800000000000001,0.9999598363527091,-0.08605320412316891,0.1284310280787585,7.299471528295469,0.543006520237939,0.47085285190668
1.3900000000000001,0.9999594737919284,-0.08879789847365055,0.12837451875852465,7.134595049985879,0.5443786861327895,0.47277403030193776
1.4000000000000001,0.9999591335967394,-0.09150371967456505,0.12818603803041723,6.9693032245219335,0.5457314266356522,0.474776716994226
1.41,0.999958816591764,-0.09416485913165207,0.1278636507428944,6.8037348853906625,0.547061837861708,0.47685628760956855
